geoName,diet
Alabama,91
Alaska,85
Arizona,88
Arkansas,91
California,75
Colorado,80
Connecticut,82
Delaware,77
District of Columbia,69
Florida,81
Georgia,83
Hawaii,78
Idaho,84
Illinois,73
Indiana,82
Iowa,79
Kansas,81
Kentucky,91
Louisiana,89
Maine,85
Maryland,77
Massachusetts,77
Michigan,77
Minnesota,74
Mississippi,100
Missouri,82
Montana,83
Nebraska,82
Nevada,76
New Hampshire,88
New Jersey,81
New Mexico,85
New York,79
North Carolina,82
North Dakota,81
Ohio,82
Oklahoma,92
Oregon,81
Pennsylvania,81
Rhode Island,80
South Carolina,77
South Dakota,82
Tennessee,90
Texas,79
Utah,78
Vermont,83
Virginia,81
Washington,80
West Virginia,92
Wisconsin,80
Wyoming,85
