date,diet,isPartial
2016-01-03,100,False
2016-01-10,86,False
2016-01-17,82,False
2016-01-24,83,False
2016-01-31,82,False
2016-02-07,76,False
2016-02-14,75,False
2016-02-21,80,False
2016-02-28,78,False
2016-03-06,80,False
2016-03-13,74,False
2016-03-20,75,False
2016-03-27,77,False
2016-04-03,84,False
2016-04-10,78,False
2016-04-17,77,False
2016-04-24,79,False
2016-05-01,75,False
2016-05-08,74,False
2016-05-15,79,False
2016-05-22,73,False
2016-05-29,72,False
2016-06-05,73,False
2016-06-12,70,False
2016-06-19,72,False
2016-06-26,72,False
2016-07-03,72,False
2016-07-10,69,False
2016-07-17,72,False
2016-07-24,69,False
2016-07-31,73,False
2016-08-07,72,False
2016-08-14,67,False
2016-08-21,68,False
2016-08-28,68,False
2016-09-04,68,False
2016-09-11,65,False
2016-09-18,66,False
2016-09-25,63,False
2016-10-02,62,False
2016-10-09,60,False
2016-10-16,64,False
2016-10-23,62,False
2016-10-30,58,False
2016-11-06,53,False
2016-11-13,63,False
2016-11-20,48,False
2016-11-27,61,False
2016-12-04,58,False
2016-12-11,52,False
2016-12-18,48,False
2016-12-25,68,False
