geoName,hurt
Alabama,88
Alaska,65
Arizona,64
Arkansas,87
California,60
Colorado,63
Connecticut,62
Delaware,67
District of Columbia,70
Florida,65
Georgia,82
Hawaii,62
Idaho,69
Illinois,69
Indiana,75
Iowa,76
Kansas,60
Kentucky,91
Louisiana,75
Maine,70
Maryland,63
Massachusetts,58
Michigan,74
Minnesota,63
Mississippi,94
Missouri,75
Montana,68
Nebraska,67
Nevada,68
New Hampshire,61
New Jersey,62
New Mexico,73
New York,63
North Carolina,78
North Dakota,63
Ohio,76
Oklahoma,75
Oregon,47
Pennsylvania,70
Rhode Island,66
South Carolina,86
South Dakota,68
Tennessee,86
Texas,74
Utah,64
Vermont,54
Virginia,53
Washington,61
West Virginia,100
Wisconsin,69
Wyoming,63
