date,hurt,isPartial
2011-01-02,91,False
2011-01-09,88,False
2011-01-16,90,False
2011-01-23,90,False
2011-01-30,86,False
2011-02-06,85,False
2011-02-13,85,False
2011-02-20,89,False
2011-02-27,90,False
2011-03-06,88,False
2011-03-13,85,False
2011-03-20,88,False
2011-03-27,86,False
2011-04-03,92,False
2011-04-10,93,False
2011-04-17,89,False
2011-04-24,91,False
2011-05-01,91,False
2011-05-08,89,False
2011-05-15,96,False
2011-05-22,93,False
2011-05-29,94,False
2011-06-05,95,False
2011-06-12,94,False
2011-06-19,92,False
2011-06-26,96,False
2011-07-03,98,False
2011-07-10,92,False
2011-07-17,97,False
2011-07-24,93,False
2011-07-31,98,False
2011-08-07,98,False
2011-08-14,94,False
2011-08-21,94,False
2011-08-28,86,False
2011-09-04,88,False
2011-09-11,95,False
2011-09-18,95,False
2011-09-25,93,False
2011-10-02,96,False
2011-10-09,98,False
2011-10-16,94,False
2011-10-23,94,False
2011-10-30,96,False
2011-11-06,95,False
2011-11-13,100,False
2011-11-20,95,False
2011-11-27,95,False
2011-12-04,97,False
2011-12-11,91,False
2011-12-18,95,False
2011-12-25,96,False
