geoName,hurt
Alabama,82
Alaska,66
Arizona,70
Arkansas,87
California,70
Colorado,67
Connecticut,67
Delaware,77
District of Columbia,72
Florida,72
Georgia,83
Hawaii,60
Idaho,65
Illinois,75
Indiana,81
Iowa,72
Kansas,71
Kentucky,95
Louisiana,84
Maine,62
Maryland,70
Massachusetts,66
Michigan,78
Minnesota,69
Mississippi,99
Missouri,80
Montana,62
Nebraska,71
Nevada,70
New Hampshire,63
New Jersey,70
New Mexico,65
New York,66
North Carolina,76
North Dakota,70
Ohio,77
Oklahoma,75
Oregon,57
Pennsylvania,76
Rhode Island,67
South Carolina,75
South Dakota,77
Tennessee,82
Texas,83
Utah,67
Vermont,57
Virginia,74
Washington,65
West Virginia,100
Wisconsin,68
Wyoming,61
