geoName,hurt
Alabama,92
Alaska,57
Arizona,65
Arkansas,96
California,58
Colorado,62
Connecticut,60
Delaware,68
District of Columbia,66
Florida,63
Georgia,80
Hawaii,53
Idaho,68
Illinois,69
Indiana,80
Iowa,75
Kansas,67
Kentucky,95
Louisiana,82
Maine,63
Maryland,65
Massachusetts,60
Michigan,74
Minnesota,63
Mississippi,99
Missouri,77
Montana,66
Nebraska,69
Nevada,67
New Hampshire,67
New Jersey,64
New Mexico,69
New York,61
North Carolina,76
North Dakota,72
Ohio,78
Oklahoma,83
Oregon,53
Pennsylvania,71
Rhode Island,64
South Carolina,78
South Dakota,82
Tennessee,86
Texas,73
Utah,67
Vermont,62
Virginia,71
Washington,58
West Virginia,100
Wisconsin,68
Wyoming,69
