geoName,hurt
Alabama,81
Alaska,57
Arizona,65
Arkansas,78
California,62
Colorado,63
Connecticut,61
Delaware,71
District of Columbia,56
Florida,61
Georgia,78
Hawaii,54
Idaho,61
Illinois,67
Indiana,76
Iowa,66
Kansas,75
Kentucky,90
Louisiana,82
Maine,59
Maryland,62
Massachusetts,60
Michigan,68
Minnesota,62
Mississippi,94
Missouri,74
Montana,62
Nebraska,64
Nevada,67
New Hampshire,64
New Jersey,63
New Mexico,66
New York,61
North Carolina,70
North Dakota,66
Ohio,69
Oklahoma,82
Oregon,40
Pennsylvania,70
Rhode Island,67
South Carolina,73
South Dakota,68
Tennessee,76
Texas,74
Utah,61
Vermont,55
Virginia,69
Washington,57
West Virginia,100
Wisconsin,62
Wyoming,61
