date,hurt,isPartial
2013-01-06,71,False
2013-01-13,68,False
2013-01-20,71,False
2013-01-27,67,False
2013-02-03,69,False
2013-02-10,65,False
2013-02-17,67,False
2013-02-24,69,False
2013-03-03,67,False
2013-03-10,66,False
2013-03-17,66,False
2013-03-24,67,False
2013-03-31,80,False
2013-04-07,72,False
2013-04-14,73,False
2013-04-21,70,False
2013-04-28,72,False
2013-05-05,69,False
2013-05-12,74,False
2013-05-19,100,False
2013-05-26,76,False
2013-06-02,76,False
2013-06-09,74,False
2013-06-16,73,False
2013-06-23,74,False
2013-06-30,76,False
2013-07-07,76,False
2013-07-14,72,False
2013-07-21,75,False
2013-07-28,76,False
2013-08-04,77,False
2013-08-11,74,False
2013-08-18,73,False
2013-08-25,69,False
2013-09-01,74,False
2013-09-08,71,False
2013-09-15,71,False
2013-09-22,68,False
2013-09-29,70,False
2013-10-06,69,False
2013-10-13,74,False
2013-10-20,69,False
2013-10-27,69,False
2013-11-03,71,False
2013-11-10,71,False
2013-11-17,75,False
2013-11-24,73,False
2013-12-01,66,False
2013-12-08,68,False
2013-12-15,66,False
2013-12-22,71,False
2013-12-29,75,False
