geoName,hurt
Alabama,86
Alaska,63
Arizona,70
Arkansas,83
California,69
Colorado,66
Connecticut,70
Delaware,73
District of Columbia,69
Florida,74
Georgia,82
Hawaii,59
Idaho,73
Illinois,72
Indiana,79
Iowa,75
Kansas,79
Kentucky,98
Louisiana,84
Maine,65
Maryland,70
Massachusetts,65
Michigan,76
Minnesota,64
Mississippi,87
Missouri,72
Montana,66
Nebraska,74
Nevada,75
New Hampshire,73
New Jersey,75
New Mexico,73
New York,75
North Carolina,79
North Dakota,72
Ohio,78
Oklahoma,78
Oregon,61
Pennsylvania,78
Rhode Island,71
South Carolina,78
South Dakota,59
Tennessee,80
Texas,81
Utah,64
Vermont,62
Virginia,82
Washington,64
West Virginia,100
Wisconsin,68
Wyoming,66
