date,hurt,isPartial
2014-01-05,89,False
2014-01-12,84,False
2014-01-19,90,False
2014-01-26,85,False
2014-02-02,84,False
2014-02-09,83,False
2014-02-16,87,False
2014-02-23,83,False
2014-03-02,83,False
2014-03-09,83,False
2014-03-16,83,False
2014-03-23,89,False
2014-03-30,86,False
2014-04-06,86,False
2014-04-13,87,False
2014-04-20,88,False
2014-04-27,89,False
2014-05-04,85,False
2014-05-11,90,False
2014-05-18,89,False
2014-05-25,89,False
2014-06-01,88,False
2014-06-08,86,False
2014-06-15,91,False
2014-06-22,90,False
2014-06-29,93,False
2014-07-06,94,False
2014-07-13,100,False
2014-07-20,93,False
2014-07-27,96,False
2014-08-03,95,False
2014-08-10,88,False
2014-08-17,92,False
2014-08-24,89,False
2014-08-31,88,False
2014-09-07,82,False
2014-09-14,86,False
2014-09-21,84,False
2014-09-28,85,False
2014-10-05,87,False
2014-10-12,86,False
2014-10-19,87,False
2014-10-26,88,False
2014-11-02,85,False
2014-11-09,85,False
2014-11-16,83,False
2014-11-23,81,False
2014-11-30,81,False
2014-12-07,83,False
2014-12-14,80,False
2014-12-21,83,False
2014-12-28,90,False
