geoName,pessimistic
Alabama,77
Alaska,46
Arizona,61
Arkansas,79
California,73
Colorado,43
Connecticut,50
Delaware,69
District of Columbia,49
Florida,72
Georgia,67
Hawaii,71
Idaho,48
Illinois,61
Indiana,74
Iowa,58
Kansas,60
Kentucky,51
Louisiana,54
Maine,26
Maryland,68
Massachusetts,52
Michigan,53
Minnesota,46
Mississippi,66
Missouri,70
Montana,65
Nebraska,47
Nevada,61
New Hampshire,36
New Jersey,70
New Mexico,43
New York,61
North Carolina,70
North Dakota,100
Ohio,61
Oklahoma,52
Oregon,40
Pennsylvania,61
Rhode Island,41
South Carolina,70
South Dakota,51
Tennessee,63
Texas,79
Utah,59
Vermont,24
Virginia,36
Washington,50
West Virginia,51
Wisconsin,57
Wyoming,36
