geoName,pessimistic
Alabama,87
Alaska,72
Arizona,65
Arkansas,73
California,65
Colorado,54
Connecticut,45
Delaware,19
District of Columbia,43
Florida,66
Georgia,72
Hawaii,91
Idaho,39
Illinois,56
Indiana,72
Iowa,36
Kansas,73
Kentucky,53
Louisiana,71
Maine,52
Maryland,61
Massachusetts,62
Michigan,61
Minnesota,53
Mississippi,100
Missouri,60
Montana,47
Nebraska,61
Nevada,58
New Hampshire,21
New Jersey,58
New Mexico,67
New York,54
North Carolina,80
North Dakota,66
Ohio,54
Oklahoma,61
Oregon,24
Pennsylvania,59
Rhode Island,50
South Carolina,80
South Dakota,46
Tennessee,65
Texas,79
Utah,58
Vermont,65
Virginia,48
Washington,57
West Virginia,30
Wisconsin,51
Wyoming,18
