geoName,pessimistic
Alabama,55
Alaska,39
Arizona,58
Arkansas,40
California,55
Colorado,43
Connecticut,37
Delaware,39
District of Columbia,38
Florida,57
Georgia,62
Hawaii,71
Idaho,43
Illinois,47
Indiana,61
Iowa,44
Kansas,53
Kentucky,46
Louisiana,76
Maine,35
Maryland,55
Massachusetts,40
Michigan,41
Minnesota,41
Mississippi,33
Missouri,37
Montana,100
Nebraska,28
Nevada,62
New Hampshire,25
New Jersey,53
New Mexico,79
New York,55
North Carolina,52
North Dakota,49
Ohio,46
Oklahoma,39
Oregon,44
Pennsylvania,45
Rhode Island,64
South Carolina,48
South Dakota,74
Tennessee,41
Texas,58
Utah,38
Vermont,33
Virginia,52
Washington,39
West Virginia,66
Wisconsin,44
Wyoming,0
