geoName,pessimistic
Alabama,100
Alaska,53
Arizona,73
Arkansas,63
California,75
Colorado,57
Connecticut,59
Delaware,69
District of Columbia,46
Florida,83
Georgia,75
Hawaii,64
Idaho,74
Illinois,77
Indiana,92
Iowa,73
Kansas,42
Kentucky,64
Louisiana,65
Maine,69
Maryland,63
Massachusetts,46
Michigan,65
Minnesota,65
Mississippi,99
Missouri,75
Montana,52
Nebraska,61
Nevada,77
New Hampshire,42
New Jersey,65
New Mexico,60
New York,65
North Carolina,75
North Dakota,11
Ohio,58
Oklahoma,72
Oregon,44
Pennsylvania,62
Rhode Island,53
South Carolina,81
South Dakota,33
Tennessee,57
Texas,76
Utah,66
Vermont,50
Virginia,64
Washington,64
West Virginia,71
Wisconsin,48
Wyoming,68
