date,trapped,isPartial
2013-01-06,100,False
2013-01-13,69,False
2013-01-20,57,False
2013-01-27,48,False
2013-02-03,50,False
2013-02-10,46,False
2013-02-17,55,False
2013-02-24,54,False
2013-03-03,58,False
2013-03-10,48,False
2013-03-17,56,False
2013-03-24,54,False
2013-03-31,50,False
2013-04-07,55,False
2013-04-14,54,False
2013-04-21,53,False
2013-04-28,49,False
2013-05-05,57,False
2013-05-12,49,False
2013-05-19,57,False
2013-05-26,57,False
2013-06-02,55,False
2013-06-09,53,False
2013-06-16,47,False
2013-06-23,54,False
2013-06-30,59,False
2013-07-07,57,False
2013-07-14,51,False
2013-07-21,55,False
2013-07-28,53,False
2013-08-04,61,False
2013-08-11,56,False
2013-08-18,53,False
2013-08-25,51,False
2013-09-01,47,False
2013-09-08,48,False
2013-09-15,41,False
2013-09-22,49,False
2013-09-29,50,False
2013-10-06,47,False
2013-10-13,56,False
2013-10-20,43,False
2013-10-27,52,False
2013-11-03,53,False
2013-11-10,49,False
2013-11-17,55,False
2013-11-24,52,False
2013-12-01,73,False
2013-12-08,63,False
2013-12-15,51,False
2013-12-22,58,False
2013-12-29,59,False
