geoName,trapped
Alabama,60
Alaska,57
Arizona,47
Arkansas,64
California,48
Colorado,44
Connecticut,45
Delaware,59
District of Columbia,49
Florida,44
Georgia,59
Hawaii,45
Idaho,44
Illinois,50
Indiana,53
Iowa,52
Kansas,49
Kentucky,48
Louisiana,63
Maine,55
Maryland,53
Massachusetts,49
Michigan,58
Minnesota,52
Mississippi,100
Missouri,49
Montana,47
Nebraska,42
Nevada,42
New Hampshire,54
New Jersey,51
New Mexico,61
New York,52
North Carolina,55
North Dakota,64
Ohio,77
Oklahoma,62
Oregon,49
Pennsylvania,58
Rhode Island,53
South Carolina,55
South Dakota,52
Tennessee,66
Texas,50
Utah,38
Vermont,37
Virginia,52
Washington,51
West Virginia,52
Wisconsin,50
Wyoming,38
