date,trapped,isPartial
2014-01-05,47,False
2014-01-12,41,False
2014-01-19,53,False
2014-01-26,46,False
2014-02-02,43,False
2014-02-09,39,False
2014-02-16,42,False
2014-02-23,37,False
2014-03-02,37,False
2014-03-09,46,False
2014-03-16,100,False
2014-03-23,48,False
2014-03-30,43,False
2014-04-06,39,False
2014-04-13,40,False
2014-04-20,38,False
2014-04-27,39,False
2014-05-04,37,False
2014-05-11,41,False
2014-05-18,47,False
2014-05-25,45,False
2014-06-01,34,False
2014-06-08,43,False
2014-06-15,38,False
2014-06-22,48,False
2014-06-29,44,False
2014-07-06,41,False
2014-07-13,46,False
2014-07-20,41,False
2014-07-27,43,False
2014-08-03,42,False
2014-08-10,41,False
2014-08-17,40,False
2014-08-24,39,False
2014-08-31,40,False
2014-09-07,35,False
2014-09-14,37,False
2014-09-21,37,False
2014-09-28,39,False
2014-10-05,38,False
2014-10-12,41,False
2014-10-19,42,False
2014-10-26,42,False
2014-11-02,44,False
2014-11-09,49,False
2014-11-16,39,False
2014-11-23,36,False
2014-11-30,42,False
2014-12-07,46,False
2014-12-14,39,False
2014-12-21,40,False
2014-12-28,44,False
