date,trapped,isPartial
2015-01-04,99,False
2015-01-11,78,False
2015-01-18,99,False
2015-01-25,91,False
2015-02-01,82,False
2015-02-08,85,False
2015-02-15,87,False
2015-02-22,76,False
2015-03-01,78,False
2015-03-08,91,False
2015-03-15,79,False
2015-03-22,84,False
2015-03-29,78,False
2015-04-05,79,False
2015-04-12,80,False
2015-04-19,79,False
2015-04-26,87,False
2015-05-03,77,False
2015-05-10,81,False
2015-05-17,90,False
2015-05-24,85,False
2015-05-31,88,False
2015-06-07,81,False
2015-06-14,76,False
2015-06-21,83,False
2015-06-28,85,False
2015-07-05,85,False
2015-07-12,82,False
2015-07-19,96,False
2015-07-26,100,False
2015-08-02,83,False
2015-08-09,79,False
2015-08-16,82,False
2015-08-23,87,False
2015-08-30,79,False
2015-09-06,91,False
2015-09-13,99,False
2015-09-20,83,False
2015-09-27,85,False
2015-10-04,82,False
2015-10-11,71,False
2015-10-18,84,False
2015-10-25,94,False
2015-11-01,92,False
2015-11-08,88,False
2015-11-15,94,False
2015-11-22,92,False
2015-11-29,91,False
2015-12-06,85,False
2015-12-13,83,False
2015-12-20,95,False
2015-12-27,89,False
