geoName,trapped
Alabama,91
Alaska,67
Arizona,68
Arkansas,77
California,58
Colorado,62
Connecticut,67
Delaware,100
District of Columbia,59
Florida,67
Georgia,71
Hawaii,62
Idaho,76
Illinois,64
Indiana,83
Iowa,60
Kansas,52
Kentucky,77
Louisiana,88
Maine,72
Maryland,82
Massachusetts,74
Michigan,69
Minnesota,54
Mississippi,91
Missouri,72
Montana,51
Nebraska,45
Nevada,77
New Hampshire,68
New Jersey,74
New Mexico,50
New York,70
North Carolina,75
North Dakota,56
Ohio,77
Oklahoma,80
Oregon,71
Pennsylvania,73
Rhode Island,81
South Carolina,77
South Dakota,51
Tennessee,89
Texas,67
Utah,57
Vermont,55
Virginia,70
Washington,62
West Virginia,77
Wisconsin,64
Wyoming,39
