geoName,trapped
Alabama,78
Alaska,97
Arizona,68
Arkansas,80
California,67
Colorado,57
Connecticut,62
Delaware,79
District of Columbia,64
Florida,65
Georgia,80
Hawaii,65
Idaho,66
Illinois,67
Indiana,73
Iowa,71
Kansas,74
Kentucky,77
Louisiana,77
Maine,73
Maryland,69
Massachusetts,67
Michigan,78
Minnesota,67
Mississippi,100
Missouri,71
Montana,61
Nebraska,60
Nevada,63
New Hampshire,69
New Jersey,73
New Mexico,78
New York,66
North Carolina,73
North Dakota,83
Ohio,68
Oklahoma,66
Oregon,48
Pennsylvania,78
Rhode Island,77
South Carolina,80
South Dakota,56
Tennessee,84
Texas,64
Utah,61
Vermont,67
Virginia,69
Washington,64
West Virginia,89
Wisconsin,68
Wyoming,43
