geoName,trapped
Alabama,72
Alaska,100
Arizona,61
Arkansas,60
California,56
Colorado,60
Connecticut,57
Delaware,58
District of Columbia,52
Florida,55
Georgia,63
Hawaii,49
Idaho,52
Illinois,61
Indiana,69
Iowa,52
Kansas,53
Kentucky,69
Louisiana,68
Maine,62
Maryland,65
Massachusetts,65
Michigan,73
Minnesota,63
Mississippi,99
Missouri,60
Montana,66
Nebraska,59
Nevada,54
New Hampshire,68
New Jersey,64
New Mexico,60
New York,60
North Carolina,64
North Dakota,74
Ohio,89
Oklahoma,68
Oregon,44
Pennsylvania,67
Rhode Island,56
South Carolina,63
South Dakota,77
Tennessee,74
Texas,65
Utah,73
Vermont,60
Virginia,46
Washington,60
West Virginia,71
Wisconsin,51
Wyoming,70
