date,trapped,isPartial
2012-01-01,29,False
2012-01-08,26,False
2012-01-15,28,False
2012-01-22,29,False
2012-01-29,28,False
2012-02-05,29,False
2012-02-12,30,False
2012-02-19,30,False
2012-02-26,24,False
2012-03-04,24,False
2012-03-11,24,False
2012-03-18,32,False
2012-03-25,27,False
2012-04-01,29,False
2012-04-08,27,False
2012-04-15,26,False
2012-04-22,28,False
2012-04-29,26,False
2012-05-06,23,False
2012-05-13,25,False
2012-05-20,25,False
2012-05-27,26,False
2012-06-03,26,False
2012-06-10,26,False
2012-06-17,24,False
2012-06-24,26,False
2012-07-01,29,False
2012-07-08,29,False
2012-07-15,38,False
2012-07-22,29,False
2012-07-29,24,False
2012-08-05,25,False
2012-08-12,26,False
2012-08-19,28,False
2012-08-26,25,False
2012-09-02,25,False
2012-09-09,26,False
2012-09-16,26,False
2012-09-23,26,False
2012-09-30,27,False
2012-10-07,28,False
2012-10-14,40,False
2012-10-21,31,False
2012-10-28,31,False
2012-11-04,26,False
2012-11-11,31,False
2012-11-18,100,False
2012-11-25,76,False
2012-12-02,42,False
2012-12-09,33,False
2012-12-16,38,False
2012-12-23,40,False
2012-12-30,34,False
