date,trapped,isPartial
2011-01-02,64,False
2011-01-09,65,False
2011-01-16,60,False
2011-01-23,57,False
2011-01-30,70,False
2011-02-06,64,False
2011-02-13,62,False
2011-02-20,68,False
2011-02-27,62,False
2011-03-06,54,False
2011-03-13,57,False
2011-03-20,53,False
2011-03-27,57,False
2011-04-03,53,False
2011-04-10,63,False
2011-04-17,64,False
2011-04-24,61,False
2011-05-01,58,False
2011-05-08,69,False
2011-05-15,74,False
2011-05-22,64,False
2011-05-29,60,False
2011-06-05,58,False
2011-06-12,64,False
2011-06-19,71,False
2011-06-26,66,False
2011-07-03,54,False
2011-07-10,63,False
2011-07-17,66,False
2011-07-24,68,False
2011-07-31,54,False
2011-08-07,61,False
2011-08-14,52,False
2011-08-21,51,False
2011-08-28,55,False
2011-09-04,61,False
2011-09-11,78,False
2011-09-18,61,False
2011-09-25,68,False
2011-10-02,84,False
2011-10-09,72,False
2011-10-16,60,False
2011-10-23,68,False
2011-10-30,64,False
2011-11-06,56,False
2011-11-13,78,False
2011-11-20,75,False
2011-11-27,75,False
2011-12-04,78,False
2011-12-11,76,False
2011-12-18,100,False
2011-12-25,82,False
