date,tired,isPartial
2015-01-04,80,False
2015-01-11,82,False
2015-01-18,85,False
2015-01-25,82,False
2015-02-01,80,False
2015-02-08,86,False
2015-02-15,81,False
2015-02-22,84,False
2015-03-01,86,False
2015-03-08,90,False
2015-03-15,86,False
2015-03-22,89,False
2015-03-29,86,False
2015-04-05,92,False
2015-04-12,92,False
2015-04-19,90,False
2015-04-26,89,False
2015-05-03,92,False
2015-05-10,92,False
2015-05-17,96,False
2015-05-24,92,False
2015-05-31,93,False
2015-06-07,99,False
2015-06-14,90,False
2015-06-21,94,False
2015-06-28,90,False
2015-07-05,92,False
2015-07-12,95,False
2015-07-19,95,False
2015-07-26,90,False
2015-08-02,94,False
2015-08-09,92,False
2015-08-16,93,False
2015-08-23,92,False
2015-08-30,93,False
2015-09-06,87,False
2015-09-13,90,False
2015-09-20,95,False
2015-09-27,93,False
2015-10-04,92,False
2015-10-11,95,False
2015-10-18,87,False
2015-10-25,82,False
2015-11-01,91,False
2015-11-08,84,False
2015-11-15,100,False
2015-11-22,83,False
2015-11-29,81,False
2015-12-06,82,False
2015-12-13,83,False
2015-12-20,78,False
2015-12-27,84,False
