date,tired,isPartial
2014-01-05,85,False
2014-01-12,85,False
2014-01-19,85,False
2014-01-26,83,False
2014-02-02,84,False
2014-02-09,82,False
2014-02-16,82,False
2014-02-23,91,False
2014-03-02,86,False
2014-03-09,94,False
2014-03-16,91,False
2014-03-23,91,False
2014-03-30,93,False
2014-04-06,92,False
2014-04-13,92,False
2014-04-20,100,False
2014-04-27,94,False
2014-05-04,95,False
2014-05-11,94,False
2014-05-18,100,False
2014-05-25,95,False
2014-06-01,95,False
2014-06-08,92,False
2014-06-15,90,False
2014-06-22,96,False
2014-06-29,92,False
2014-07-06,97,False
2014-07-13,98,False
2014-07-20,98,False
2014-07-27,97,False
2014-08-03,95,False
2014-08-10,93,False
2014-08-17,97,False
2014-08-24,89,False
2014-08-31,89,False
2014-09-07,91,False
2014-09-14,83,False
2014-09-21,91,False
2014-09-28,89,False
2014-10-05,94,False
2014-10-12,89,False
2014-10-19,92,False
2014-10-26,88,False
2014-11-02,86,False
2014-11-09,86,False
2014-11-16,87,False
2014-11-23,87,False
2014-11-30,87,False
2014-12-07,82,False
2014-12-14,90,False
2014-12-21,78,False
2014-12-28,80,False
