date,tired,isPartial
2013-01-06,83,False
2013-01-13,80,False
2013-01-20,82,False
2013-01-27,84,False
2013-02-03,90,False
2013-02-10,79,False
2013-02-17,89,False
2013-02-24,90,False
2013-03-03,87,False
2013-03-10,88,False
2013-03-17,93,False
2013-03-24,87,False
2013-03-31,86,False
2013-04-07,94,False
2013-04-14,85,False
2013-04-21,98,False
2013-04-28,91,False
2013-05-05,86,False
2013-05-12,92,False
2013-05-19,90,False
2013-05-26,93,False
2013-06-02,92,False
2013-06-09,96,False
2013-06-16,92,False
2013-06-23,92,False
2013-06-30,89,False
2013-07-07,89,False
2013-07-14,93,False
2013-07-21,100,False
2013-07-28,92,False
2013-08-04,92,False
2013-08-11,96,False
2013-08-18,92,False
2013-08-25,90,False
2013-09-01,91,False
2013-09-08,92,False
2013-09-15,84,False
2013-09-22,93,False
2013-09-29,89,False
2013-10-06,92,False
2013-10-13,89,False
2013-10-20,87,False
2013-10-27,85,False
2013-11-03,89,False
2013-11-10,84,False
2013-11-17,85,False
2013-11-24,84,False
2013-12-01,78,False
2013-12-08,83,False
2013-12-15,79,False
2013-12-22,77,False
2013-12-29,82,False
