geoName,tired
Alabama,78
Alaska,87
Arizona,78
Arkansas,77
California,77
Colorado,70
Connecticut,81
Delaware,82
District of Columbia,78
Florida,77
Georgia,80
Hawaii,71
Idaho,71
Illinois,80
Indiana,80
Iowa,81
Kansas,82
Kentucky,96
Louisiana,83
Maine,81
Maryland,86
Massachusetts,76
Michigan,85
Minnesota,74
Mississippi,93
Missouri,72
Montana,80
Nebraska,79
Nevada,71
New Hampshire,78
New Jersey,83
New Mexico,72
New York,95
North Carolina,82
North Dakota,93
Ohio,86
Oklahoma,75
Oregon,72
Pennsylvania,88
Rhode Island,100
South Carolina,80
South Dakota,73
Tennessee,74
Texas,82
Utah,81
Vermont,81
Virginia,82
Washington,77
West Virginia,89
Wisconsin,73
Wyoming,93
