geoName,tired
Alabama,73
Alaska,72
Arizona,74
Arkansas,80
California,70
Colorado,72
Connecticut,70
Delaware,100
District of Columbia,70
Florida,73
Georgia,77
Hawaii,89
Idaho,60
Illinois,79
Indiana,79
Iowa,72
Kansas,73
Kentucky,85
Louisiana,85
Maine,70
Maryland,75
Massachusetts,80
Michigan,81
Minnesota,76
Mississippi,91
Missouri,81
Montana,56
Nebraska,79
Nevada,71
New Hampshire,75
New Jersey,78
New Mexico,75
New York,78
North Carolina,73
North Dakota,75
Ohio,82
Oklahoma,80
Oregon,44
Pennsylvania,87
Rhode Island,81
South Carolina,79
South Dakota,75
Tennessee,78
Texas,73
Utah,75
Vermont,71
Virginia,63
Washington,74
West Virginia,86
Wisconsin,74
Wyoming,69
