date,tired,isPartial
2011-01-02,86,False
2011-01-09,73,False
2011-01-16,80,False
2011-01-23,85,False
2011-01-30,82,False
2011-02-06,88,False
2011-02-13,86,False
2011-02-20,87,False
2011-02-27,91,False
2011-03-06,86,False
2011-03-13,85,False
2011-03-20,91,False
2011-03-27,92,False
2011-04-03,95,False
2011-04-10,96,False
2011-04-17,88,False
2011-04-24,92,False
2011-05-01,87,False
2011-05-08,99,False
2011-05-15,85,False
2011-05-22,90,False
2011-05-29,85,False
2011-06-05,90,False
2011-06-12,90,False
2011-06-19,93,False
2011-06-26,93,False
2011-07-03,98,False
2011-07-10,97,False
2011-07-17,93,False
2011-07-24,89,False
2011-07-31,100,False
2011-08-07,92,False
2011-08-14,91,False
2011-08-21,92,False
2011-08-28,99,False
2011-09-04,89,False
2011-09-11,93,False
2011-09-18,99,False
2011-09-25,93,False
2011-10-02,90,False
2011-10-09,90,False
2011-10-16,89,False
2011-10-23,93,False
2011-10-30,87,False
2011-11-06,81,False
2011-11-13,87,False
2011-11-20,96,False
2011-11-27,85,False
2011-12-04,86,False
2011-12-11,84,False
2011-12-18,77,False
2011-12-25,81,False
