geoName,tired
Alabama,81
Alaska,81
Arizona,80
Arkansas,84
California,75
Colorado,70
Connecticut,72
Delaware,82
District of Columbia,88
Florida,75
Georgia,84
Hawaii,80
Idaho,84
Illinois,77
Indiana,84
Iowa,80
Kansas,65
Kentucky,88
Louisiana,91
Maine,76
Maryland,78
Massachusetts,76
Michigan,83
Minnesota,74
Mississippi,97
Missouri,84
Montana,71
Nebraska,86
Nevada,83
New Hampshire,79
New Jersey,79
New Mexico,77
New York,78
North Carolina,79
North Dakota,72
Ohio,81
Oklahoma,84
Oregon,55
Pennsylvania,90
Rhode Island,86
South Carolina,88
South Dakota,77
Tennessee,83
Texas,78
Utah,76
Vermont,71
Virginia,56
Washington,77
West Virginia,100
Wisconsin,77
Wyoming,77
