geoName,tired
Alabama,77
Alaska,78
Arizona,80
Arkansas,85
California,80
Colorado,76
Connecticut,86
Delaware,65
District of Columbia,80
Florida,79
Georgia,82
Hawaii,74
Idaho,74
Illinois,83
Indiana,91
Iowa,81
Kansas,90
Kentucky,87
Louisiana,86
Maine,71
Maryland,82
Massachusetts,86
Michigan,85
Minnesota,77
Mississippi,90
Missouri,85
Montana,69
Nebraska,79
Nevada,80
New Hampshire,84
New Jersey,86
New Mexico,71
New York,81
North Carolina,76
North Dakota,77
Ohio,87
Oklahoma,93
Oregon,55
Pennsylvania,100
Rhode Island,80
South Carolina,80
South Dakota,91
Tennessee,86
Texas,80
Utah,85
Vermont,78
Virginia,89
Washington,82
West Virginia,85
Wisconsin,81
Wyoming,75
