geoName,tired
Alabama,85
Alaska,83
Arizona,81
Arkansas,77
California,82
Colorado,77
Connecticut,81
Delaware,80
District of Columbia,95
Florida,83
Georgia,88
Hawaii,68
Idaho,74
Illinois,86
Indiana,89
Iowa,71
Kansas,87
Kentucky,90
Louisiana,96
Maine,80
Maryland,83
Massachusetts,95
Michigan,93
Minnesota,80
Mississippi,95
Missouri,82
Montana,74
Nebraska,82
Nevada,78
New Hampshire,94
New Jersey,90
New Mexico,78
New York,90
North Carolina,84
North Dakota,81
Ohio,86
Oklahoma,97
Oregon,83
Pennsylvania,96
Rhode Island,96
South Carolina,81
South Dakota,78
Tennessee,82
Texas,83
Utah,82
Vermont,100
Virginia,83
Washington,77
West Virginia,98
Wisconsin,82
Wyoming,83
