date,weepy,isPartial
2014-01-05,75,False
2014-01-12,64,False
2014-01-19,69,False
2014-01-26,26,False
2014-02-02,44,False
2014-02-09,5,False
2014-02-16,42,False
2014-02-23,62,False
2014-03-02,26,False
2014-03-09,48,False
2014-03-16,26,False
2014-03-23,47,False
2014-03-30,37,False
2014-04-06,91,False
2014-04-13,38,False
2014-04-20,49,False
2014-04-27,32,False
2014-05-04,43,False
2014-05-11,44,False
2014-05-18,36,False
2014-05-25,39,False
2014-06-01,81,False
2014-06-08,51,False
2014-06-15,6,False
2014-06-22,51,False
2014-06-29,55,False
2014-07-06,70,False
2014-07-13,51,False
2014-07-20,44,False
2014-07-27,38,False
2014-08-03,80,False
2014-08-10,50,False
2014-08-17,25,False
2014-08-24,49,False
2014-08-31,61,False
2014-09-07,81,False
2014-09-14,35,False
2014-09-21,36,False
2014-09-28,41,False
2014-10-05,35,False
2014-10-12,41,False
2014-10-19,41,False
2014-10-26,47,False
2014-11-02,35,False
2014-11-09,46,False
2014-11-16,17,False
2014-11-23,43,False
2014-11-30,100,False
2014-12-07,29,False
2014-12-14,30,False
2014-12-21,70,False
2014-12-28,32,False
