date,weepy,isPartial
2011-01-02,43,False
2011-01-09,50,False
2011-01-16,50,False
2011-01-23,25,False
2011-01-30,16,False
2011-02-06,72,False
2011-02-13,41,False
2011-02-20,50,False
2011-02-27,32,False
2011-03-06,56,False
2011-03-13,17,False
2011-03-20,48,False
2011-03-27,56,False
2011-04-03,32,False
2011-04-10,80,False
2011-04-17,41,False
2011-04-24,65,False
2011-05-01,24,False
2011-05-08,32,False
2011-05-15,81,False
2011-05-22,99,False
2011-05-29,34,False
2011-06-05,41,False
2011-06-12,41,False
2011-06-19,41,False
2011-06-26,25,False
2011-07-03,17,False
2011-07-10,81,False
2011-07-17,32,False
2011-07-24,39,False
2011-07-31,79,False
2011-08-07,31,False
2011-08-14,47,False
2011-08-21,23,False
2011-08-28,100,False
2011-09-04,54,False
2011-09-11,22,False
2011-09-18,37,False
2011-09-25,36,False
2011-10-02,29,False
2011-10-09,14,False
2011-10-16,94,False
2011-10-23,36,False
2011-10-30,95,False
2011-11-06,42,False
2011-11-13,42,False
2011-11-20,37,False
2011-11-27,60,False
2011-12-04,40,False
2011-12-11,34,False
2011-12-18,36,False
2011-12-25,74,False
