date,weepy,isPartial
2016-01-03,40,False
2016-01-10,28,False
2016-01-17,60,False
2016-01-24,34,False
2016-01-31,39,False
2016-02-07,34,False
2016-02-14,38,False
2016-02-21,41,False
2016-02-28,32,False
2016-03-06,36,False
2016-03-13,15,False
2016-03-20,40,False
2016-03-27,26,False
2016-04-03,52,False
2016-04-10,23,False
2016-04-17,28,False
2016-04-24,100,False
2016-05-01,92,False
2016-05-08,52,False
2016-05-15,37,False
2016-05-22,38,False
2016-05-29,36,False
2016-06-05,29,False
2016-06-12,40,False
2016-06-19,30,False
2016-06-26,16,False
2016-07-03,40,False
2016-07-10,30,False
2016-07-17,33,False
2016-07-24,25,False
2016-07-31,30,False
2016-08-07,75,False
2016-08-14,32,False
2016-08-21,34,False
2016-08-28,48,False
2016-09-04,51,False
2016-09-11,34,False
2016-09-18,23,False
2016-09-25,47,False
2016-10-02,36,False
2016-10-09,34,False
2016-10-16,39,False
2016-10-23,34,False
2016-10-30,41,False
2016-11-06,41,False
2016-11-13,23,False
2016-11-20,47,False
2016-11-27,33,False
2016-12-04,14,False
2016-12-11,36,False
2016-12-18,26,False
2016-12-25,48,False
