date,weepy,isPartial
2012-01-01,25,False
2012-01-08,63,False
2012-01-15,63,False
2012-01-22,54,False
2012-01-29,54,False
2012-02-05,62,False
2012-02-12,84,False
2012-02-19,46,False
2012-02-26,55,False
2012-03-04,56,False
2012-03-11,70,False
2012-03-18,47,False
2012-03-25,70,False
2012-04-01,16,False
2012-04-08,73,False
2012-04-15,70,False
2012-04-22,100,False
2012-04-29,54,False
2012-05-06,62,False
2012-05-13,47,False
2012-05-20,47,False
2012-05-27,41,False
2012-06-03,48,False
2012-06-10,40,False
2012-06-17,56,False
2012-06-24,55,False
2012-07-01,25,False
2012-07-08,62,False
2012-07-15,54,False
2012-07-22,54,False
2012-07-29,31,False
2012-08-05,53,False
2012-08-12,31,False
2012-08-19,54,False
2012-08-26,68,False
2012-09-02,76,False
2012-09-09,37,False
2012-09-16,44,False
2012-09-23,80,False
2012-09-30,50,False
2012-10-07,56,False
2012-10-14,41,False
2012-10-21,83,False
2012-10-28,21,False
2012-11-04,55,False
2012-11-11,57,False
2012-11-18,52,False
2012-11-25,66,False
2012-12-02,67,False
2012-12-09,61,False
2012-12-16,35,False
2012-12-23,24,False
2012-12-30,57,False
