date,finality,isPartial
2012-01-01,31,False
2012-01-08,42,False
2012-01-15,54,False
2012-01-22,29,False
2012-01-29,17,False
2012-02-05,23,False
2012-02-12,40,False
2012-02-19,35,False
2012-02-26,30,False
2012-03-04,12,False
2012-03-11,35,False
2012-03-18,35,False
2012-03-25,47,False
2012-04-01,24,False
2012-04-08,24,False
2012-04-15,12,False
2012-04-22,17,False
2012-04-29,52,False
2012-05-06,41,False
2012-05-13,100,False
2012-05-20,89,False
2012-05-27,43,False
2012-06-03,30,False
2012-06-10,36,False
2012-06-17,36,False
2012-06-24,12,False
2012-07-01,37,False
2012-07-08,59,False
2012-07-15,17,False
2012-07-22,23,False
2012-07-29,12,False
2012-08-05,34,False
2012-08-12,29,False
2012-08-19,35,False
2012-08-26,29,False
2012-09-02,29,False
2012-09-09,39,False
2012-09-16,55,False
2012-09-23,11,False
2012-09-30,16,False
2012-10-07,42,False
2012-10-14,36,False
2012-10-21,57,False
2012-10-28,32,False
2012-11-04,31,False
2012-11-11,43,False
2012-11-18,33,False
2012-11-25,15,False
2012-12-02,15,False
2012-12-09,30,False
2012-12-16,31,False
2012-12-23,18,False
2012-12-30,11,False
