geoName,morbid
Alabama,63
Alaska,64
Arizona,74
Arkansas,78
California,69
Colorado,63
Connecticut,56
Delaware,69
District of Columbia,59
Florida,63
Georgia,63
Hawaii,59
Idaho,69
Illinois,67
Indiana,74
Iowa,65
Kansas,73
Kentucky,86
Louisiana,68
Maine,75
Maryland,57
Massachusetts,53
Michigan,57
Minnesota,62
Mississippi,58
Missouri,58
Montana,79
Nebraska,47
Nevada,78
New Hampshire,77
New Jersey,73
New Mexico,69
New York,78
North Carolina,60
North Dakota,63
Ohio,58
Oklahoma,60
Oregon,46
Pennsylvania,71
Rhode Island,88
South Carolina,63
South Dakota,76
Tennessee,65
Texas,65
Utah,54
Vermont,49
Virginia,39
Washington,64
West Virginia,100
Wisconsin,63
Wyoming,50
