geoName,morbid
Alabama,50
Alaska,56
Arizona,55
Arkansas,85
California,55
Colorado,55
Connecticut,46
Delaware,42
District of Columbia,28
Florida,50
Georgia,46
Hawaii,61
Idaho,65
Illinois,61
Indiana,61
Iowa,38
Kansas,49
Kentucky,52
Louisiana,38
Maine,71
Maryland,45
Massachusetts,51
Michigan,61
Minnesota,53
Mississippi,34
Missouri,42
Montana,36
Nebraska,49
Nevada,68
New Hampshire,100
New Jersey,56
New Mexico,83
New York,47
North Carolina,50
North Dakota,37
Ohio,62
Oklahoma,66
Oregon,67
Pennsylvania,56
Rhode Island,77
South Carolina,49
South Dakota,70
Tennessee,53
Texas,57
Utah,51
Vermont,53
Virginia,54
Washington,66
West Virginia,54
Wisconsin,60
Wyoming,96
