geoName,morbid
Alabama,64
Alaska,50
Arizona,49
Arkansas,46
California,50
Colorado,45
Connecticut,55
Delaware,42
District of Columbia,35
Florida,47
Georgia,45
Hawaii,44
Idaho,28
Illinois,42
Indiana,50
Iowa,49
Kansas,42
Kentucky,53
Louisiana,48
Maine,49
Maryland,43
Massachusetts,50
Michigan,51
Minnesota,46
Mississippi,39
Missouri,55
Montana,39
Nebraska,34
Nevada,55
New Hampshire,34
New Jersey,50
New Mexico,61
New York,67
North Carolina,43
North Dakota,36
Ohio,56
Oklahoma,61
Oregon,44
Pennsylvania,48
Rhode Island,41
South Carolina,57
South Dakota,100
Tennessee,52
Texas,50
Utah,63
Vermont,36
Virginia,30
Washington,51
West Virginia,41
Wisconsin,41
Wyoming,52
