date,unfulfilled,isPartial
2012-01-01,33,False
2012-01-08,72,False
2012-01-15,62,False
2012-01-22,20,False
2012-01-29,80,False
2012-02-05,60,False
2012-02-12,89,False
2012-02-19,40,False
2012-02-26,72,False
2012-03-04,62,False
2012-03-11,30,False
2012-03-18,20,False
2012-03-25,20,False
2012-04-01,31,False
2012-04-08,63,False
2012-04-15,60,False
2012-04-22,40,False
2012-04-29,69,False
2012-05-06,40,False
2012-05-13,61,False
2012-05-20,61,False
2012-05-27,42,False
2012-06-03,0,False
2012-06-10,52,False
2012-06-17,63,False
2012-06-24,81,False
2012-07-01,64,False
2012-07-08,60,False
2012-07-15,60,False
2012-07-22,100,False
2012-07-29,30,False
2012-08-05,39,False
2012-08-12,50,False
2012-08-19,79,False
2012-08-26,59,False
2012-09-02,30,False
2012-09-09,29,False
2012-09-16,67,False
2012-09-23,56,False
2012-09-30,75,False
2012-10-07,64,False
2012-10-14,90,False
2012-10-21,45,False
2012-10-28,83,False
2012-11-04,71,False
2012-11-11,74,False
2012-11-18,38,False
2012-11-25,69,False
2012-12-02,79,False
2012-12-09,61,False
2012-12-16,54,False
2012-12-23,20,False
2012-12-30,56,False
