date,unfulfilled,isPartial
2014-01-05,36,False
2014-01-12,78,False
2014-01-19,36,False
2014-01-26,30,False
2014-02-02,63,False
2014-02-09,29,False
2014-02-16,47,False
2014-02-23,41,False
2014-03-02,52,False
2014-03-09,54,False
2014-03-16,42,False
2014-03-23,65,False
2014-03-30,42,False
2014-04-06,36,False
2014-04-13,55,False
2014-04-20,43,False
2014-04-27,49,False
2014-05-04,49,False
2014-05-11,25,False
2014-05-18,61,False
2014-05-25,66,False
2014-06-01,35,False
2014-06-08,57,False
2014-06-15,65,False
2014-06-22,43,False
2014-06-29,62,False
2014-07-06,0,False
2014-07-13,43,False
2014-07-20,57,False
2014-07-27,57,False
2014-08-03,68,False
2014-08-10,63,False
2014-08-17,70,False
2014-08-24,34,False
2014-08-31,48,False
2014-09-07,46,False
2014-09-14,60,False
2014-09-21,60,False
2014-09-28,53,False
2014-10-05,100,False
2014-10-12,73,False
2014-10-19,60,False
2014-10-26,60,False
2014-11-02,65,False
2014-11-09,39,False
2014-11-16,59,False
2014-11-23,35,False
2014-11-30,50,False
2014-12-07,39,False
2014-12-14,34,False
2014-12-21,63,False
2014-12-28,73,False
