date,unfulfilled,isPartial
2013-01-06,15,False
2013-01-13,92,False
2013-01-20,39,False
2013-01-27,53,False
2013-02-03,38,False
2013-02-10,23,False
2013-02-17,53,False
2013-02-24,74,False
2013-03-03,68,False
2013-03-10,90,False
2013-03-17,53,False
2013-03-24,55,False
2013-03-31,61,False
2013-04-07,69,False
2013-04-14,38,False
2013-04-21,100,False
2013-04-28,61,False
2013-05-05,61,False
2013-05-12,55,False
2013-05-19,62,False
2013-05-26,73,False
2013-06-02,55,False
2013-06-09,72,False
2013-06-16,56,False
2013-06-23,24,False
2013-06-30,91,False
2013-07-07,55,False
2013-07-14,77,False
2013-07-21,62,False
2013-07-28,47,False
2013-08-04,55,False
2013-08-11,39,False
2013-08-18,31,False
2013-08-25,68,False
2013-09-01,69,False
2013-09-08,74,False
2013-09-15,37,False
2013-09-22,30,False
2013-09-29,30,False
2013-10-06,45,False
2013-10-13,61,False
2013-10-20,15,False
2013-10-27,60,False
2013-11-03,52,False
2013-11-10,52,False
2013-11-17,51,False
2013-11-24,63,False
2013-12-01,49,False
2013-12-08,22,False
2013-12-15,98,False
2013-12-22,26,False
2013-12-29,78,False
