date,unfulfilled,isPartial
2015-01-04,56,False
2015-01-11,97,False
2015-01-18,28,False
2015-01-25,75,False
2015-02-01,100,False
2015-02-08,67,False
2015-02-15,62,False
2015-02-22,47,False
2015-03-01,40,False
2015-03-08,35,False
2015-03-15,55,False
2015-03-22,69,False
2015-03-29,50,False
2015-04-05,43,False
2015-04-12,48,False
2015-04-19,84,False
2015-04-26,49,False
2015-05-03,72,False
2015-05-10,73,False
2015-05-17,52,False
2015-05-24,39,False
2015-05-31,45,False
2015-06-07,53,False
2015-06-14,30,False
2015-06-21,31,False
2015-06-28,39,False
2015-07-05,69,False
2015-07-12,53,False
2015-07-19,46,False
2015-07-26,68,False
2015-08-02,60,False
2015-08-09,45,False
2015-08-16,37,False
2015-08-23,73,False
2015-08-30,50,False
2015-09-06,65,False
2015-09-13,49,False
2015-09-20,82,False
2015-09-27,48,False
2015-10-04,91,False
2015-10-11,48,False
2015-10-18,41,False
2015-10-25,61,False
2015-11-01,94,False
2015-11-08,40,False
2015-11-15,80,False
2015-11-22,22,False
2015-11-29,52,False
2015-12-06,80,False
2015-12-13,89,False
2015-12-20,39,False
2015-12-27,65,False
