date,shattered,isPartial
2013-01-06,78,False
2013-01-13,63,False
2013-01-20,65,False
2013-01-27,74,False
2013-02-03,66,False
2013-02-10,63,False
2013-02-17,74,False
2013-02-24,76,False
2013-03-03,71,False
2013-03-10,73,False
2013-03-17,74,False
2013-03-24,70,False
2013-03-31,70,False
2013-04-07,72,False
2013-04-14,70,False
2013-04-21,70,False
2013-04-28,64,False
2013-05-05,71,False
2013-05-12,71,False
2013-05-19,83,False
2013-05-26,76,False
2013-06-02,70,False
2013-06-09,79,False
2013-06-16,65,False
2013-06-23,73,False
2013-06-30,89,False
2013-07-07,80,False
2013-07-14,68,False
2013-07-21,63,False
2013-07-28,67,False
2013-08-04,88,False
2013-08-11,84,False
2013-08-18,71,False
2013-08-25,61,False
2013-09-01,66,False
2013-09-08,74,False
2013-09-15,66,False
2013-09-22,69,False
2013-09-29,65,False
2013-10-06,74,False
2013-10-13,67,False
2013-10-20,73,False
2013-10-27,64,False
2013-11-03,67,False
2013-11-10,63,False
2013-11-17,70,False
2013-11-24,77,False
2013-12-01,74,False
2013-12-08,78,False
2013-12-15,75,False
2013-12-22,84,False
2013-12-29,100,False
