geoName,shattered
Alabama,71
Alaska,67
Arizona,78
Arkansas,83
California,79
Colorado,77
Connecticut,79
Delaware,88
District of Columbia,66
Florida,67
Georgia,72
Hawaii,85
Idaho,68
Illinois,77
Indiana,88
Iowa,87
Kansas,76
Kentucky,78
Louisiana,86
Maine,81
Maryland,84
Massachusetts,70
Michigan,87
Minnesota,67
Mississippi,68
Missouri,75
Montana,68
Nebraska,75
Nevada,80
New Hampshire,100
New Jersey,87
New Mexico,100
New York,82
North Carolina,73
North Dakota,54
Ohio,84
Oklahoma,97
Oregon,82
Pennsylvania,78
Rhode Island,84
South Carolina,75
South Dakota,53
Tennessee,75
Texas,83
Utah,85
Vermont,70
Virginia,82
Washington,82
West Virginia,95
Wisconsin,85
Wyoming,53
