geoName,shattered
Alabama,67
Alaska,73
Arizona,60
Arkansas,79
California,54
Colorado,61
Connecticut,59
Delaware,71
District of Columbia,49
Florida,58
Georgia,55
Hawaii,53
Idaho,77
Illinois,58
Indiana,53
Iowa,62
Kansas,50
Kentucky,57
Louisiana,54
Maine,50
Maryland,56
Massachusetts,57
Michigan,62
Minnesota,52
Mississippi,62
Missouri,62
Montana,54
Nebraska,66
Nevada,70
New Hampshire,67
New Jersey,53
New Mexico,77
New York,50
North Carolina,62
North Dakota,51
Ohio,57
Oklahoma,70
Oregon,39
Pennsylvania,56
Rhode Island,59
South Carolina,55
South Dakota,63
Tennessee,61
Texas,65
Utah,69
Vermont,62
Virginia,45
Washington,61
West Virginia,75
Wisconsin,53
Wyoming,100
