geoName,shattered
Alabama,71
Alaska,100
Arizona,55
Arkansas,72
California,63
Colorado,63
Connecticut,61
Delaware,86
District of Columbia,50
Florida,61
Georgia,61
Hawaii,58
Idaho,59
Illinois,63
Indiana,65
Iowa,63
Kansas,75
Kentucky,86
Louisiana,55
Maine,73
Maryland,66
Massachusetts,60
Michigan,66
Minnesota,72
Mississippi,65
Missouri,70
Montana,86
Nebraska,58
Nevada,75
New Hampshire,53
New Jersey,65
New Mexico,66
New York,62
North Carolina,67
North Dakota,59
Ohio,68
Oklahoma,70
Oregon,41
Pennsylvania,64
Rhode Island,73
South Carolina,60
South Dakota,87
Tennessee,68
Texas,72
Utah,64
Vermont,64
Virginia,60
Washington,73
West Virginia,70
Wisconsin,57
Wyoming,47
