geoName,shattered
Alabama,82
Alaska,82
Arizona,77
Arkansas,85
California,67
Colorado,75
Connecticut,87
Delaware,67
District of Columbia,53
Florida,75
Georgia,65
Hawaii,83
Idaho,68
Illinois,72
Indiana,94
Iowa,75
Kansas,72
Kentucky,81
Louisiana,82
Maine,72
Maryland,75
Massachusetts,65
Michigan,78
Minnesota,59
Mississippi,64
Missouri,81
Montana,53
Nebraska,80
Nevada,63
New Hampshire,72
New Jersey,68
New Mexico,89
New York,70
North Carolina,73
North Dakota,95
Ohio,79
Oklahoma,68
Oregon,75
Pennsylvania,79
Rhode Island,88
South Carolina,71
South Dakota,89
Tennessee,66
Texas,82
Utah,75
Vermont,64
Virginia,73
Washington,68
West Virginia,100
Wisconsin,67
Wyoming,74
