date,shattered,isPartial
2015-01-04,70,False
2015-01-11,63,False
2015-01-18,68,False
2015-01-25,66,False
2015-02-01,58,False
2015-02-08,63,False
2015-02-15,59,False
2015-02-22,54,False
2015-03-01,56,False
2015-03-08,49,False
2015-03-15,56,False
2015-03-22,66,False
2015-03-29,53,False
2015-04-05,55,False
2015-04-12,58,False
2015-04-19,57,False
2015-04-26,63,False
2015-05-03,53,False
2015-05-10,50,False
2015-05-17,51,False
2015-05-24,58,False
2015-05-31,57,False
2015-06-07,55,False
2015-06-14,55,False
2015-06-21,100,False
2015-06-28,82,False
2015-07-05,54,False
2015-07-12,60,False
2015-07-19,52,False
2015-07-26,55,False
2015-08-02,47,False
2015-08-09,61,False
2015-08-16,60,False
2015-08-23,60,False
2015-08-30,53,False
2015-09-06,50,False
2015-09-13,53,False
2015-09-20,46,False
2015-09-27,40,False
2015-10-04,43,False
2015-10-11,49,False
2015-10-18,50,False
2015-10-25,44,False
2015-11-01,39,False
2015-11-08,38,False
2015-11-15,42,False
2015-11-22,41,False
2015-11-29,38,False
2015-12-06,44,False
2015-12-13,37,False
2015-12-20,41,False
2015-12-27,47,False
