date,shattered,isPartial
2016-01-03,52,False
2016-01-10,50,False
2016-01-17,47,False
2016-01-24,53,False
2016-01-31,51,False
2016-02-07,42,False
2016-02-14,44,False
2016-02-21,48,False
2016-02-28,43,False
2016-03-06,50,False
2016-03-13,41,False
2016-03-20,52,False
2016-03-27,45,False
2016-04-03,46,False
2016-04-10,47,False
2016-04-17,47,False
2016-04-24,51,False
2016-05-01,54,False
2016-05-08,47,False
2016-05-15,62,False
2016-05-22,52,False
2016-05-29,51,False
2016-06-05,42,False
2016-06-12,100,False
2016-06-19,84,False
2016-06-26,60,False
2016-07-03,51,False
2016-07-10,42,False
2016-07-17,56,False
2016-07-24,60,False
2016-07-31,42,False
2016-08-07,54,False
2016-08-14,46,False
2016-08-21,44,False
2016-08-28,57,False
2016-09-04,62,False
2016-09-11,66,False
2016-09-18,56,False
2016-09-25,71,False
2016-10-02,97,False
2016-10-09,72,False
2016-10-16,54,False
2016-10-23,47,False
2016-10-30,53,False
2016-11-06,44,False
2016-11-13,48,False
2016-11-20,43,False
2016-11-27,46,False
2016-12-04,42,False
2016-12-11,44,False
2016-12-18,44,False
2016-12-25,49,False
