geoName,shattered
Alabama,59
Alaska,83
Arizona,92
Arkansas,76
California,75
Colorado,86
Connecticut,70
Delaware,77
District of Columbia,55
Florida,74
Georgia,66
Hawaii,76
Idaho,100
Illinois,68
Indiana,91
Iowa,91
Kansas,70
Kentucky,76
Louisiana,82
Maine,69
Maryland,82
Massachusetts,69
Michigan,67
Minnesota,75
Mississippi,74
Missouri,79
Montana,86
Nebraska,72
Nevada,75
New Hampshire,67
New Jersey,72
New Mexico,92
New York,71
North Carolina,67
North Dakota,85
Ohio,82
Oklahoma,88
Oregon,59
Pennsylvania,82
Rhode Island,98
South Carolina,71
South Dakota,93
Tennessee,74
Texas,79
Utah,92
Vermont,82
Virginia,59
Washington,82
West Virginia,85
Wisconsin,73
Wyoming,39
