geoName,evaluation
Alabama,66
Alaska,79
Arizona,54
Arkansas,64
California,49
Colorado,55
Connecticut,64
Delaware,75
District of Columbia,100
Florida,57
Georgia,56
Hawaii,73
Idaho,68
Illinois,55
Indiana,64
Iowa,67
Kansas,57
Kentucky,57
Louisiana,64
Maine,60
Maryland,94
Massachusetts,63
Michigan,61
Minnesota,51
Mississippi,63
Missouri,63
Montana,64
Nebraska,63
Nevada,50
New Hampshire,53
New Jersey,58
New Mexico,81
New York,49
North Carolina,77
North Dakota,54
Ohio,59
Oklahoma,64
Oregon,53
Pennsylvania,60
Rhode Island,68
South Carolina,60
South Dakota,75
Tennessee,79
Texas,45
Utah,55
Vermont,66
Virginia,76
Washington,58
West Virginia,60
Wisconsin,58
Wyoming,73
