geoName,evaluation
Alabama,49
Alaska,59
Arizona,48
Arkansas,59
California,42
Colorado,43
Connecticut,52
Delaware,59
District of Columbia,100
Florida,41
Georgia,42
Hawaii,53
Idaho,54
Illinois,45
Indiana,53
Iowa,53
Kansas,45
Kentucky,54
Louisiana,44
Maine,51
Maryland,73
Massachusetts,58
Michigan,48
Minnesota,50
Mississippi,48
Missouri,40
Montana,54
Nebraska,51
Nevada,39
New Hampshire,55
New Jersey,52
New Mexico,71
New York,48
North Carolina,61
North Dakota,64
Ohio,56
Oklahoma,44
Oregon,38
Pennsylvania,53
Rhode Island,56
South Carolina,54
South Dakota,58
Tennessee,55
Texas,40
Utah,44
Vermont,57
Virginia,62
Washington,51
West Virginia,57
Wisconsin,44
Wyoming,63
