geoName,evaluation
Alabama,63
Alaska,78
Arizona,61
Arkansas,70
California,56
Colorado,61
Connecticut,74
Delaware,82
District of Columbia,80
Florida,55
Georgia,57
Hawaii,65
Idaho,73
Illinois,58
Indiana,67
Iowa,58
Kansas,52
Kentucky,46
Louisiana,56
Maine,64
Maryland,100
Massachusetts,73
Michigan,60
Minnesota,64
Mississippi,62
Missouri,63
Montana,63
Nebraska,64
Nevada,52
New Hampshire,59
New Jersey,67
New Mexico,91
New York,58
North Carolina,69
North Dakota,82
Ohio,61
Oklahoma,52
Oregon,43
Pennsylvania,63
Rhode Island,67
South Carolina,51
South Dakota,72
Tennessee,63
Texas,51
Utah,53
Vermont,61
Virginia,58
Washington,60
West Virginia,65
Wisconsin,56
Wyoming,57
