geoName,evaluation
Alabama,68
Alaska,72
Arizona,66
Arkansas,74
California,57
Colorado,63
Connecticut,66
Delaware,73
District of Columbia,97
Florida,56
Georgia,55
Hawaii,75
Idaho,76
Illinois,54
Indiana,75
Iowa,73
Kansas,69
Kentucky,69
Louisiana,56
Maine,57
Maryland,100
Massachusetts,70
Michigan,65
Minnesota,66
Mississippi,67
Missouri,55
Montana,75
Nebraska,79
Nevada,56
New Hampshire,74
New Jersey,69
New Mexico,76
New York,56
North Carolina,94
North Dakota,81
Ohio,68
Oklahoma,85
Oregon,75
Pennsylvania,71
Rhode Island,80
South Carolina,71
South Dakota,72
Tennessee,82
Texas,52
Utah,66
Vermont,83
Virginia,98
Washington,62
West Virginia,86
Wisconsin,64
Wyoming,65
