geoName,evaluation
Alabama,57
Alaska,69
Arizona,55
Arkansas,66
California,50
Colorado,55
Connecticut,69
Delaware,81
District of Columbia,100
Florida,51
Georgia,51
Hawaii,50
Idaho,57
Illinois,54
Indiana,59
Iowa,58
Kansas,47
Kentucky,48
Louisiana,53
Maine,64
Maryland,96
Massachusetts,70
Michigan,59
Minnesota,55
Mississippi,54
Missouri,53
Montana,62
Nebraska,58
Nevada,44
New Hampshire,60
New Jersey,60
New Mexico,86
New York,53
North Carolina,65
North Dakota,69
Ohio,63
Oklahoma,49
Oregon,35
Pennsylvania,61
Rhode Island,69
South Carolina,52
South Dakota,56
Tennessee,67
Texas,50
Utah,52
Vermont,65
Virginia,59
Washington,58
West Virginia,65
Wisconsin,56
Wyoming,52
