geoName,courage
Alabama,64
Alaska,46
Arizona,56
Arkansas,72
California,55
Colorado,60
Connecticut,64
Delaware,56
District of Columbia,49
Florida,46
Georgia,56
Hawaii,61
Idaho,66
Illinois,58
Indiana,63
Iowa,72
Kansas,51
Kentucky,61
Louisiana,51
Maine,52
Maryland,55
Massachusetts,52
Michigan,53
Minnesota,100
Mississippi,62
Missouri,61
Montana,77
Nebraska,72
Nevada,49
New Hampshire,57
New Jersey,57
New Mexico,56
New York,48
North Carolina,60
North Dakota,69
Ohio,54
Oklahoma,73
Oregon,50
Pennsylvania,55
Rhode Island,59
South Carolina,58
South Dakota,51
Tennessee,55
Texas,58
Utah,67
Vermont,67
Virginia,59
Washington,55
West Virginia,58
Wisconsin,58
Wyoming,52
