geoName,courage
Alabama,65
Alaska,66
Arizona,60
Arkansas,70
California,55
Colorado,67
Connecticut,64
Delaware,51
District of Columbia,57
Florida,50
Georgia,58
Hawaii,61
Idaho,65
Illinois,57
Indiana,70
Iowa,68
Kansas,54
Kentucky,64
Louisiana,62
Maine,48
Maryland,58
Massachusetts,58
Michigan,60
Minnesota,100
Mississippi,71
Missouri,54
Montana,72
Nebraska,95
Nevada,59
New Hampshire,59
New Jersey,55
New Mexico,58
New York,53
North Carolina,62
North Dakota,67
Ohio,65
Oklahoma,64
Oregon,40
Pennsylvania,60
Rhode Island,52
South Carolina,60
South Dakota,64
Tennessee,66
Texas,56
Utah,72
Vermont,54
Virginia,56
Washington,58
West Virginia,64
Wisconsin,67
Wyoming,82
