geoName,courage
Alabama,76
Alaska,59
Arizona,62
Arkansas,74
California,58
Colorado,72
Connecticut,68
Delaware,51
District of Columbia,54
Florida,55
Georgia,62
Hawaii,51
Idaho,80
Illinois,58
Indiana,69
Iowa,86
Kansas,68
Kentucky,58
Louisiana,68
Maine,57
Maryland,70
Massachusetts,56
Michigan,60
Minnesota,100
Mississippi,79
Missouri,53
Montana,65
Nebraska,80
Nevada,61
New Hampshire,64
New Jersey,60
New Mexico,67
New York,59
North Carolina,63
North Dakota,68
Ohio,64
Oklahoma,76
Oregon,45
Pennsylvania,65
Rhode Island,50
South Carolina,60
South Dakota,73
Tennessee,63
Texas,61
Utah,77
Vermont,67
Virginia,43
Washington,58
West Virginia,69
Wisconsin,67
Wyoming,76
