geoName,courage
Alabama,63
Alaska,62
Arizona,52
Arkansas,61
California,51
Colorado,66
Connecticut,51
Delaware,51
District of Columbia,40
Florida,48
Georgia,50
Hawaii,59
Idaho,59
Illinois,49
Indiana,65
Iowa,59
Kansas,63
Kentucky,58
Louisiana,58
Maine,56
Maryland,53
Massachusetts,49
Michigan,55
Minnesota,100
Mississippi,61
Missouri,53
Montana,67
Nebraska,86
Nevada,54
New Hampshire,58
New Jersey,55
New Mexico,53
New York,48
North Carolina,58
North Dakota,77
Ohio,58
Oklahoma,76
Oregon,57
Pennsylvania,59
Rhode Island,60
South Carolina,62
South Dakota,70
Tennessee,60
Texas,55
Utah,77
Vermont,74
Virginia,52
Washington,51
West Virginia,58
Wisconsin,57
Wyoming,83
