geoName,courage
Alabama,68
Alaska,55
Arizona,61
Arkansas,56
California,60
Colorado,67
Connecticut,60
Delaware,71
District of Columbia,63
Florida,56
Georgia,58
Hawaii,71
Idaho,72
Illinois,59
Indiana,65
Iowa,77
Kansas,55
Kentucky,56
Louisiana,61
Maine,70
Maryland,60
Massachusetts,56
Michigan,61
Minnesota,100
Mississippi,67
Missouri,62
Montana,73
Nebraska,83
Nevada,54
New Hampshire,68
New Jersey,62
New Mexico,54
New York,54
North Carolina,64
North Dakota,60
Ohio,67
Oklahoma,64
Oregon,34
Pennsylvania,59
Rhode Island,53
South Carolina,63
South Dakota,71
Tennessee,57
Texas,58
Utah,77
Vermont,64
Virginia,48
Washington,58
West Virginia,55
Wisconsin,62
Wyoming,69
