date,courage,isPartial
2013-01-06,74,False
2013-01-13,72,False
2013-01-20,75,False
2013-01-27,78,False
2013-02-03,82,False
2013-02-10,74,False
2013-02-17,79,False
2013-02-24,83,False
2013-03-03,85,False
2013-03-10,75,False
2013-03-17,78,False
2013-03-24,71,False
2013-03-31,85,False
2013-04-07,100,False
2013-04-14,94,False
2013-04-21,87,False
2013-04-28,84,False
2013-05-05,90,False
2013-05-12,96,False
2013-05-19,88,False
2013-05-26,93,False
2013-06-02,75,False
2013-06-09,74,False
2013-06-16,64,False
2013-06-23,61,False
2013-06-30,58,False
2013-07-07,72,False
2013-07-14,65,False
2013-07-21,73,False
2013-07-28,62,False
2013-08-04,64,False
2013-08-11,74,False
2013-08-18,68,False
2013-08-25,72,False
2013-09-01,73,False
2013-09-08,72,False
2013-09-15,76,False
2013-09-22,85,False
2013-09-29,82,False
2013-10-06,87,False
2013-10-13,81,False
2013-10-20,81,False
2013-10-27,82,False
2013-11-03,79,False
2013-11-10,81,False
2013-11-17,80,False
2013-11-24,58,False
2013-12-01,81,False
2013-12-08,74,False
2013-12-15,72,False
2013-12-22,52,False
2013-12-29,64,False
