date,courage,isPartial
2012-01-01,46,False
2012-01-08,47,False
2012-01-15,45,False
2012-01-22,46,False
2012-01-29,49,False
2012-02-05,52,False
2012-02-12,49,False
2012-02-19,48,False
2012-02-26,49,False
2012-03-04,50,False
2012-03-11,46,False
2012-03-18,47,False
2012-03-25,48,False
2012-04-01,50,False
2012-04-08,49,False
2012-04-15,47,False
2012-04-22,47,False
2012-04-29,53,False
2012-05-06,53,False
2012-05-13,52,False
2012-05-20,45,False
2012-05-27,47,False
2012-06-03,43,False
2012-06-10,38,False
2012-06-17,39,False
2012-06-24,38,False
2012-07-01,37,False
2012-07-08,39,False
2012-07-15,43,False
2012-07-22,42,False
2012-07-29,39,False
2012-08-05,40,False
2012-08-12,39,False
2012-08-19,41,False
2012-08-26,43,False
2012-09-02,62,False
2012-09-09,100,False
2012-09-16,85,False
2012-09-23,63,False
2012-09-30,52,False
2012-10-07,54,False
2012-10-14,54,False
2012-10-21,54,False
2012-10-28,50,False
2012-11-04,52,False
2012-11-11,52,False
2012-11-18,41,False
2012-11-25,50,False
2012-12-02,55,False
2012-12-09,49,False
2012-12-16,44,False
2012-12-23,37,False
2012-12-30,43,False
